Property ID,Tenant Name,Unit Number,Payment Date,Amount,Payment Method,Status,Late Fee
PROP001,John Smith,12A,01/05/2024,$1,500.00,Check,Paid,0
PROP001,john smith,12A,02/03/2024,1500,check,paid,
PROP001,J. Smith,12a,3/7/2024,"$1,500",Check,PAID,$0
PROP002,Maria Garcia,5B,1/10/2024,$2,200.00,ACH,Paid,0
PROP002,Maria Garcia,5B,2/10/2024,2200.00,ach,Paid,
PROP002,M. Garcia,5B,03/15/2024,$2,200,ACH,Late,75
PROP003,Robert Johnson,23C,01/01/2024,1800,Zelle,Paid,0
PROP003,,23C,2/1/2024,$1,800.00,zelle,Paid,
PROP003,Bob Johnson,23C,3/5/2024,1800,Zelle,Late,50
PROP004,Sarah Lee,8D,1/15/2024,"$3,500.00",Wire Transfer,Paid,0
PROP004,Sarah Lee,8D,02/15/2024,3500,wire,Paid,
PROP005,Michael Chen,17A,01/20/2024,$1,750.00,Check,Paid,0
PROP005,Mike Chen,17A,2/20/2024,1750,Check,pending,
PROP005,Michael Chen,17a,03/25/2024,"$1,750",chk,Late,60
PROP006,Jennifer Martinez,31B,1/5/2024,2100,ACH,Paid,0
PROP006,Jennifer Martinez,31B,,2100.00,ACH,Paid,
PROP006,J Martinez,31B,3/5/2024,$2,100,ach,Paid,0
PROP007,David Wong,4C,01/12/2024,$1,950.00,Check,Paid,
PROP007,David Wong,4C,2/12/2024,1950,Check,Paid,0
PROP008,Lisa Anderson,19D,1/8/2024,"$2,800",ACH,Paid,0
PROP008,,19D,2/8/2024,2800,ACH,Paid,
PROP008,Lisa Anderson,19d,03/10/2024,$2,800.00,ach,Late,85
PROP009,James Taylor,11A,01/25/2024,1600.00,Zelle,Late,45
PROP009,James Taylor,11A,2/28/2024,$1,600,zelle,Late,90
PROP010,Amanda Brown,26B,1/3/2024,"$2,450.00",Check,Paid,0
PROP010,Amanda Brown,26B,2/3/2024,2450,check,Paid,
PROP010,A. Brown,26b,3/3/2024,$2450,Check,Paid,0
PROP001,John Smith,12A,04/05/2024,$1,500.00,Check,Paid,0
PROP002,Maria Garcia,5B,4/10/2024,NULL,ACH,Pending,
PROP003,Robert Johnson,23C,04/01/2024,1800,Zelle,Paid,0
PROP004,Sarah Lee,8D,4/15/2024,"$3,500.00",Wire Transfer,pending,
PROP005,Michael Chen,17A,04/22/2024,$1,750.00,Check,Late,55
PROP011,Thomas White,7E,1/6/2024,$1,425.00,ACH,Paid,0
PROP011,Tom White,7E,2/6/2024,1425,ach,Paid,
PROP011,Thomas White,7e,03/06/2024,"$1,425",ACH,Paid,0
PROP012,Emily Rodriguez,14F,01/18/2024,3200,Check,Paid,
PROP012,Emily Rodriguez,14F,2/18/2024,$3,200.00,check,Late,70
PROP012,,14F,3/20/2024,3200,Check,Late,115
